source,target
424,218666
424,47684
906,1103979
906,1105344
906,1114352
906,1136397
906,1140040
906,34355
906,910
910,1104379
910,1105344
910,1105530
910,1108834
910,1110520
910,1114118
910,1116569
910,1118848
910,1120858
910,1122460
910,1126044
910,1129111
910,1135137
910,1140040
910,1152194
910,12946
910,131042
910,13136
910,160705
910,227286
910,242637
910,31043
910,340075
910,340078
910,34355
910,42847
910,436796
910,48550
910,5462
910,576257
910,58552
910,5869
910,636511
910,67292
910,675649
910,684372
910,94953
1365,1031453
1365,1102407
1365,1105062
1365,1106287
1365,1108050
1365,1110494
1365,1110998
1365,1113995
1365,1114153
1365,1114352
1365,1114388
1365,1114605
1365,1116594
1365,1117653
1365,1120211
1365,1120866
1365,1128839
1365,1129443
1365,1131647
1365,1131745
1365,1131748
1365,1132922
1365,1132968
1365,1135137
1365,1135368
1365,1136442
1365,1152821
1365,1154169
1365,120084
1365,139865
1365,157401
1365,171225
1365,184918
1365,188318
1365,22835
1365,23448
1365,23502
1365,23507
1365,237521
1365,26850
1365,330148
1365,340075
1365,39904
1365,436796
1365,49482
1365,560936
1365,562123
1365,648232
1365,649731
1365,69392
1365,7276
1365,7297
1365,77758
1365,83826
1365,853150
1365,90888
1365,93555
1365,948299
1365,948846
1365,949318
1365,949511
1365,950052
1365,950305
1717,1116336
1717,1135108
1717,733167
2658,1115375
2658,1130676
2658,1130808
2658,1131607
2658,1132948
2658,1135899
2658,1140230
2658,230884
2658,236759
2658,282700
2658,395540
2658,578347
2658,696342
2658,696345
2658,696346
2658,751408
2658,99023
2665,1105574
2665,1113035
2665,1115375
2665,1122704
2665,1130676
2665,1130808
2665,1131607
2665,1132486
2665,1132948
2665,1132968
2665,205192
2665,230884
2665,237489
2665,2658
2665,395540
2665,43639
2665,578306
2665,578309
2665,578337
2665,578347
2665,582139
2665,630817
2665,631052
2665,696345
2665,696346
2665,751408
2665,99023
2695,1108169
2695,1120197
2695,2698
2695,342802
2696,1108050
2696,1108169
2696,1113035
2696,1114192
2696,1118083
2696,1120858
2696,1123239
2696,1133004
2696,160705
2696,256106
2696,2695
2696,2698
2696,342802
2696,469504
2696,5348
2696,5869
2696,99025
2698,1114192
2698,256106
2698,2695
2698,342802
2698,99025
2702,1120777
2702,12330
2702,395553
2702,72056
3229,100197
3229,1106568
3229,1108209
3229,1108834
3229,1109392
3229,1112767
3229,1125082
3229,1126037
3229,1128839
3229,1128868
3229,1130915
3229,1130931
3229,1131647
3229,1131748
3229,1132418
3229,1140289
3229,1152277
3229,1152673
3229,1154169
3229,1154251
3229,118559
3229,133550
3229,157401
3229,16461
3229,23502
3229,25181
3229,25184
3229,27174
3229,31769
3229,35343
3229,35922
3229,390922
3229,396412
3229,444191
3229,447250
3229,48550
3229,49482
3229,52515
3229,62347
3229,641976
3229,654326
3229,7022
3229,72101
3229,83826
3229,90888
3229,919885
3229,92065
3229,948299
3229,949511
3229,96335
3243,1103610
3243,1110947
3243,307336
3243,30895
3243,854434
3243,96335
4330,1104449
4330,1108834
4330,11093
4330,1112929
4330,1114352
4330,1132459
4330,1132461
4330,1135108
4330,1136393
4330,1136397
4330,1152917
4330,118436
4330,119956
4330,120013
4330,12946
4330,151708
4330,1717
